"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","Error","PctError","AbsPctError"
"05","059","050","Hot Spring County",33040,33817,777,2.35169491525424,2.35169491525424
"05","061","050","Howard County",12785,13145,360,2.81579976535002,2.81579976535002
"05","063","050","Independence County",37938,37814,-124,-0.326849069534504,0.326849069534504
"05","065","050","Izard County",13577,13612,35,0.257788907711571,0.257788907711571
"05","067","050","Jackson County",16755,16686,-69,-0.411817367949866,0.411817367949866
"05","069","050","Jefferson County",67260,65873,-1387,-2.06214689265537,2.06214689265537
"05","071","050","Johnson County",25749,26554,805,3.1263350033011,3.1263350033011
"05","073","050","Lafayette County",6308,6610,302,4.78757133798351,4.78757133798351
"05","075","050","Lawrence County",16216,16431,215,1.32585101134682,1.32585101134682
"05","077","050","Lee County",8600,8607,7,0.0813953488372093,0.0813953488372093
"05","079","050","Lincoln County",12941,12977,36,0.278185611621977,0.278185611621977
"05","081","050","Little River County",12026,12226,200,1.66306336271412,1.66306336271412
"05","083","050","Logan County",21131,21426,295,1.39605319199281,1.39605319199281
"05","085","050","Lonoke County",74015,73896,-119,-0.160778220630953,0.160778220630953
"05","087","050","Madison County",16521,16620,99,0.599237334301798,0.599237334301798
"05","089","050","Marion County",16826,16756,-70,-0.416022821823369,0.416022821823369
"05","091","050","Miller County",42600,43228,628,1.47417840375587,1.47417840375587
"05","093","050","Mississippi County",40685,40244,-441,-1.08393756912867,1.08393756912867
"05","095","050","Monroe County",6799,6625,-174,-2.55919988233564,2.55919988233564
"05","097","050","Montgomery County",8484,9004,520,6.12918434700613,6.12918434700613
"05","099","050","Nevada County",8310,8129,-181,-2.17809867629362,2.17809867629362
"05","101","050","Newton County",7225,7638,413,5.71626297577855,5.71626297577855
"05","103","050","Ouachita County",22650,23233,583,2.57395143487859,2.57395143487859
"05","105","050","Perry County",10019,10352,333,3.32368499850284,3.32368499850284
"05","107","050","Phillips County",16568,17426,858,5.17865765330758,5.17865765330758
"05","109","050","Pike County",10171,10670,499,4.90610559433684,4.90610559433684
"05","111","050","Poinsett County",22965,23334,369,1.60679294578707,1.60679294578707
"05","113","050","Polk County",19221,19763,542,2.81983247489725,2.81983247489725
"05","115","050","Pope County",63381,64295,914,1.44207254540004,1.44207254540004
"05","117","050","Prairie County",8282,8004,-278,-3.35667713112775,3.35667713112775
"05","119","050","Pulaski County",399125,393018,-6107,-1.53009708737864,1.53009708737864
"05","121","050","Randolph County",18571,18233,-338,-1.82004200096925,1.82004200096925
"05","123","050","St. Francis County",23090,24754,1664,7.20658293633608,7.20658293633608
"05","125","050","Saline County",123416,123638,222,0.179879432164387,0.179879432164387
"05","127","050","Scott County",9836,10150,314,3.19235461569744,3.19235461569744
"05","129","050","Searcy County",7828,7838,10,0.127746550843127,0.127746550843127
"05","131","050","Sebastian County",127799,127650,-149,-0.116589331684911,0.116589331684911
"05","133","050","Sevier County",15839,16764,925,5.84001515247175,5.84001515247175
"05","135","050","Sharp County",17271,17372,101,0.584795321637427,0.584795321637427
"05","137","050","Stone County",12359,12655,296,2.39501577797556,2.39501577797556
"05","139","050","Union County",39054,38320,-734,-1.87944896809546,1.87944896809546
"05","141","050","Van Buren County",15796,16534,738,4.67206887819701,4.67206887819701
"05","143","050","Washington County",245871,242313,-3558,-1.44710030869846,1.44710030869846
"05","145","050","White County",76822,78701,1879,2.44591393090521,2.44591393090521
"05","147","050","Woodruff County",6269,6305,36,0.574254267028234,0.574254267028234
"05","149","050","Yell County",20263,21211,948,4.6784780141144,4.6784780141144
"06","001","050","Alameda County",1682353,1665644,-16709,-0.993192272965305,0.993192272965305
"06","003","050","Alpine County",1204,1110,-94,-7.80730897009967,7.80730897009967
"06","005","050","Amador County",40474,40045,-429,-1.05993971438454,1.05993971438454
"06","007","050","Butte County",211632,214384,2752,1.30037045437363,1.30037045437363
"06","009","050","Calaveras County",45292,46296,1004,2.21672701580853,2.21672701580853
"06","011","050","Colusa County",21839,21548,-291,-1.33247859334219,1.33247859334219
"06","013","050","Contra Costa County",1165927,1153445,-12482,-1.07056445214838,1.07056445214838
"06","015","050","Del Norte County",27743,27973,230,0.829037955520311,0.829037955520311
"06","017","050","El Dorado County",191185,193078,1893,0.990140439888067,0.990140439888067
"06","019","050","Fresno County",1008654,1000999,-7655,-0.758932200734841,0.758932200734841
"06","021","050","Glenn County",28917,28342,-575,-1.988449700868,1.988449700868
"06","023","050","Humboldt County",136463,135268,-1195,-0.87569524339931,0.87569524339931
"06","025","050","Imperial County",179702,180476,774,0.43071306941492,0.43071306941492
