GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,AIANHHRA,AIANHHTA,AITSA,ANRCA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,VTDA,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7Q001,H7Q002,H7Q003,H7Q004,H7Q005,H7Q006,H7Q007,H7Q008,H7Q009,H7Q010,H7Q011,H7Q012,H7Q013,H7Q014,H7Q015,H7Q016,H7Q017,H7Q018,H7Q019,H7Q020,H7Q021,H7Q022,H7Q023,H7Q024,H7Q025,H7Q026,H7Q027,H7Q028,H7Q029,H7Q030,H7Q031,H7Q032,H7Q033,H7Q034,H7Q035,H7Q036,H7Q037,H7Q038,H7Q039,H7Q040,H7Q041,H7Q042,H7Q043,H7Q044,H7Q045,H7Q046,H7Q047,H7Q048,H7Q049,H7Q050,H7Q051,H7Q052,H7Q053,H7Q054,H7Q055,H7Q056,H7Q057,H7Q058,H7Q059,H7Q060,H7Q061,H7Q062,H7Q063,H7Q064,H7Q065,H7Q066,H7Q067,H7Q068,H7Q069,H7Q070,H7Q071,2010 Census Redistricting Data tabulation downloaded from nhgis.org on 20220530
G2901690,2010,2,4,Missouri,29,Pulaski County,169,,,,,,,,,,,,999,,,,,,,,,,,,Pulaski County,,52274,49742,40506,5984,410,1346,298,1198,2532,2293,734,476,461,56,192,70,74,15,77,22,1,7,50,32,26,216,79,35,4,4,24,4,2,48,7,2,0,0,1,1,1,2,1,0,0,1,20,6,0,2,5,1,0,5,0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,
G2901710,2010,2,4,Missouri,29,Putnam County,171,,,,,,,,,,,,999,,,,,,,,,,,,Putnam County,,4979,4937,4889,9,7,24,1,7,42,41,6,25,8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901730,2010,2,4,Missouri,29,Ralls County,173,,,,,,,,,,,,999,,,,,,,,,,,,Ralls County,,10167,10068,9892,108,14,20,12,22,99,98,28,42,16,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
G2901750,2010,2,4,Missouri,29,Randolph County,175,,,,,,,,,,,,999,,,,,,,,,,,,Randolph County,,25414,24879,23133,1490,74,106,3,73,535,520,251,161,49,10,22,9,2,0,5,1,0,2,4,4,0,15,10,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901770,2010,2,4,Missouri,29,Ray County,177,,,,,,,,,,,,312,,,,,,,,,,,,Ray County,,23494,23171,22635,280,119,61,17,59,323,320,117,117,37,9,19,2,1,0,6,5,0,2,1,3,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901790,2010,2,4,Missouri,29,Reynolds County,179,,,,,,,,,,,,999,,,,,,,,,,,,Reynolds County,,6696,6592,6477,45,41,12,1,16,104,103,12,82,5,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901810,2010,2,4,Missouri,29,Ripley County,181,,,,,,,,,,,,999,,,,,,,,,,,,Ripley County,,14100,13901,13649,49,124,47,1,31,199,187,18,127,21,1,17,2,0,0,0,0,0,0,1,0,0,12,4,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901830,2010,2,4,Missouri,29,St. Charles County,183,,,,,,,,,,,,476,,,,,,,,,,,,St. Charles County,,360485,354175,327018,14960,851,7850,173,3323,6310,5949,2269,1259,1394,82,451,123,70,3,71,19,2,18,51,124,13,339,175,32,1,25,19,2,10,34,18,2,3,1,11,2,3,0,0,0,0,1,18,7,0,1,2,3,0,4,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,
G2901850,2010,2,4,Missouri,29,St. Clair County,185,,,,,,,,,,,,999,,,,,,,,,,,,St. Clair County,,9805,9629,9464,53,68,12,1,31,176,170,24,102,13,2,24,2,0,0,1,1,0,1,0,0,0,6,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901860,2010,2,4,Missouri,29,Ste. Genevieve County,186,,,,,,,,,,,,999,,,,,,,,,,,,Ste. Genevieve County,,18145,17966,17715,118,53,49,2,29,179,164,54,85,9,2,8,0,0,0,0,2,0,2,2,0,0,15,6,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901870,2010,2,4,Missouri,29,St. Francois County,187,,,,,,,,,,,,476,,,,,,,,,,,,St. Francois County,,65359,64603,61180,2775,246,244,32,126,756,720,204,341,92,9,48,6,2,1,8,1,0,3,4,1,0,25,8,1,1,0,1,0,6,5,2,1,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,
G2901890,2010,2,4,Missouri,29,St. Louis County,189,,,,,,,,,,,,476,,,,,,,,,,,,St. Louis County,,998954,980358,701948,233029,1962,34597,307,8515,18596,17048,6359,2345,4421,192,1014,1040,495,109,441,78,15,43,122,347,27,1418,799,167,11,76,91,9,33,80,64,8,26,7,21,9,4,1,1,6,0,5,109,56,1,20,1,8,0,16,2,0,3,0,0,0,2,0,20,13,6,0,0,0,1,1,1,
G2901950,2010,2,4,Missouri,29,Saline County,195,,,,,,,,,,,,999,,,,,,,,,,,,Saline County,,23370,22808,20135,1235,75,124,158,1081,562,550,236,136,44,11,77,8,8,0,13,0,0,10,3,2,2,11,1,1,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901970,2010,2,4,Missouri,29,Schuyler County,197,,,,,,,,,,,,999,,,,,,,,,,,,Schuyler County,,4431,4395,4369,1,7,10,0,8,36,36,11,14,2,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2901990,2010,2,4,Missouri,29,Scotland County,199,,,,,,,,,,,,999,,,,,,,,,,,,Scotland County,,4843,4820,4776,3,12,11,0,18,23,22,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902010,2010,2,4,Missouri,29,Scott County,201,,,,,,,,,,,,164,,,,,,,,,,,,Scott County,,39191,38555,33606,4468,83,133,10,255,636,610,275,202,38,15,56,16,1,0,4,0,0,2,1,0,0,25,13,0,0,6,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902030,2010,2,4,Missouri,29,Shannon County,203,,,,,,,,,,,,999,,,,,,,,,,,,Shannon County,,8441,8249,8103,17,77,15,0,37,192,191,12,154,9,3,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902050,2010,2,4,Missouri,29,Shelby County,205,,,,,,,,,,,,999,,,,,,,,,,,,Shelby County,,6373,6326,6249,32,11,13,0,21,47,40,23,14,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902070,2010,2,4,Missouri,29,Stoddard County,207,,,,,,,,,,,,999,,,,,,,,,,,,Stoddard County,,29968,29666,29150,275,109,51,4,77,302,297,64,147,35,5,33,5,0,0,1,0,1,6,0,0,0,5,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902090,2010,2,4,Missouri,29,Stone County,209,,,,,,,,,,,,999,,,,,,,,,,,,Stone County,,32202,31766,31299,53,182,96,10,126,436,416,61,265,29,9,44,3,0,0,1,1,1,1,0,1,0,13,6,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,
G2902110,2010,2,4,Missouri,29,Sullivan County,211,,,,,,,,,,,,999,,,,,,,,,,,,Sullivan County,,6714,6634,5957,34,44,8,9,582,80,78,8,28,4,1,35,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902130,2010,2,4,Missouri,29,Taney County,213,,,,,,,,,,,,999,,,,,,,,,,,,Taney County,,51675,50546,48375,449,410,337,46,929,1129,1057,206,467,137,41,150,8,1,1,2,8,1,27,4,3,1,71,24,3,0,0,11,5,7,15,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
G2902150,2010,2,4,Missouri,29,Texas County,215,,,,,,,,,,,,999,,,,,,,,,,,,Texas County,,26008,25533,24332,876,180,81,8,56,475,462,72,301,54,4,18,0,2,0,1,2,0,2,1,3,2,11,5,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902170,2010,2,4,Missouri,29,Vernon County,217,,,,,,,,,,,,999,,,,,,,,,,,,Vernon County,,21159,20864,20409,102,155,104,8,86,295,287,50,187,22,5,12,1,1,0,0,1,1,1,0,5,1,8,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902190,2010,2,4,Missouri,29,Warren County,219,,,,,,,,,,,,476,,,,,,,,,,,,Warren County,,32513,31938,30685,621,133,136,11,352,575,549,239,163,74,2,52,7,1,0,7,2,0,0,1,1,0,22,15,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902210,2010,2,4,Missouri,29,Washington County,221,,,,,,,,,,,,476,,,,,,,,,,,,Washington County,,25195,24889,24142,557,100,48,5,37,306,291,68,171,20,3,22,3,1,0,0,0,0,1,2,0,0,14,8,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
G2902230,2010,2,4,Missouri,29,Wayne County,223,,,,,,,,,,,,999,,,,,,,,,,,,Wayne County,,13521,13306,13138,38,56,32,2,40,215,213,31,148,11,1,14,4,0,0,0,0,0,1,2,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
G2902250,2010,2,4,Missouri,29,Webster County,225,,,,,,,,,,,,999,,,,,,,,,,,,Webster County,,36202,35643,34855,326,244,74,8,136,559,531,97,324,46,18,29,5,1,0,0,1,2,2,2,2,2,27,17,2,0,0,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
