"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","HUBasedPop042020","Error","PctError","AbsPctError","Error_HUBasedPop","PctError_HUBasedPop","AbsPctError_HUBasedPop"
"29","201","050","Scott County",38059,38322,40065,263,0.691032344517722,0.691032344517722,2006,5.27076381407814,5.27076381407814
"29","203","050","Shannon County",7031,8196,8463,1165,16.5694780258854,16.5694780258854,1432,20.3669463803157,20.3669463803157
"29","205","050","Shelby County",6103,5914,6366,-189,-3.09683762084221,3.09683762084221,263,4.30935605439948,4.30935605439948
"29","207","050","Stoddard County",28672,29009,30305,337,1.17536272321429,1.17536272321429,1633,5.69545200892857,5.69545200892857
"29","209","050","Stone County",31076,32357,33994,1281,4.12215214313296,4.12215214313296,2918,9.38988286780795,9.38988286780795
"29","211","050","Sullivan County",5999,6040,6664,41,0.683447241206868,0.683447241206868,665,11.0851808634772,11.0851808634772
"29","213","050","Taney County",56066,56106,55448,40,0.0713444868547783,0.0713444868547783,-618,-1.10227232190632,1.10227232190632
"29","215","050","Texas County",24487,25148,26134,661,2.6993915138645,2.6993915138645,1647,6.7260178870421,6.7260178870421
"29","217","050","Vernon County",19707,20423,21390,716,3.63322677221292,3.63322677221292,1683,8.54011265032729,8.54011265032729
"29","219","050","Warren County",35532,36363,36295,831,2.338736913205,2.338736913205,763,2.14736012608353,2.14736012608353
"29","221","050","Washington County",23514,24619,25362,1105,4.69932805987922,4.69932805987922,1848,7.85914774177086,7.85914774177086
"29","223","050","Wayne County",10974,12792,13575,1818,16.566429743029,16.566429743029,2601,23.7014762165118,23.7014762165118
"29","225","050","Webster County",39085,39780,37429,695,1.77817577075604,1.77817577075604,-1656,-4.23691953434821,4.23691953434821
"29","227","050","Worth County",1973,1960,2149,-13,-0.658895083628991,0.658895083628991,176,8.9204257475925,8.9204257475925
"29","229","050","Wright County",18188,18296,18801,108,0.593798108643061,0.593798108643061,613,3.37035407961293,3.37035407961293
"29","510","050","St. Louis city",301578,298587,321799,-2991,-0.991783220261425,0.991783220261425,20221,6.7050646930479,6.7050646930479
"30","001","050","Beaverhead County",9371,9515,9423,144,1.53665563973962,1.53665563973962,52,0.55490342546153,0.55490342546153
"30","003","050","Big Horn County",13124,13140,12951,16,0.121914050594331,0.121914050594331,-173,-1.3181956720512,1.3181956720512
"30","005","050","Blaine County",7044,6623,6526,-421,-5.97671777399205,5.97671777399205,-518,-7.35377626348666,7.35377626348666
"30","007","050","Broadwater County",6774,6403,5697,-371,-5.47682314732802,5.47682314732802,-1077,-15.8990256864482,15.8990256864482
"30","009","050","Carbon County",10473,10899,10322,426,4.06760240618734,4.06760240618734,-151,-1.44180273083166,1.44180273083166
"30","011","050","Carter County",1415,1244,1197,-171,-12.0848056537102,12.0848056537102,-218,-15.4063604240283,15.4063604240283
"30","013","050","Cascade County",84414,81412,85710,-3002,-3.55628213329542,3.55628213329542,1296,1.5352903546805,1.5352903546805
"30","015","050","Chouteau County",5895,5710,5999,-185,-3.13825275657337,3.13825275657337,104,1.76420695504665,1.76420695504665
"30","017","050","Custer County",11867,11350,12000,-517,-4.35661919609,4.35661919609,133,1.12075503497093,1.12075503497093
"30","019","050","Daniels County",1661,1649,1783,-12,-0.722456351595424,0.722456351595424,122,7.34497290788681,7.34497290788681
"30","021","050","Dawson County",8940,8587,9440,-353,-3.94854586129754,3.94854586129754,500,5.59284116331096,5.59284116331096
"30","023","050","Deer Lodge County",9421,9222,9517,-199,-2.11230230336482,2.11230230336482,96,1.01900010614584,1.01900010614584
"30","025","050","Fallon County",3049,2845,3472,-204,-6.69071826828468,6.69071826828468,423,13.8734011151197,13.8734011151197
"30","027","050","Fergus County",11446,11101,11727,-345,-3.01415341604054,3.01415341604054,281,2.4550061156736,2.4550061156736
"30","029","050","Flathead County",104357,105422,96709,1065,1.02053527794015,1.02053527794015,-7648,-7.32868901942371,7.32868901942371
"30","031","050","Gallatin County",118960,116274,113925,-2686,-2.25790181573638,2.25790181573638,-5035,-4.23251513113652,4.23251513113652
"30","033","050","Garfield County",1173,1269,1236,96,8.18414322250639,8.18414322250639,63,5.37084398976982,5.37084398976982
"30","035","050","Glacier County",13778,13638,13527,-140,-1.01611264334446,1.01611264334446,-251,-1.82174481056757,1.82174481056757
"30","037","050","Golden Valley County",823,829,903,6,0.729040097205346,0.729040097205346,80,9.72053462940462,9.72053462940462
"30","039","050","Granite County",3309,3336,3089,27,0.815956482320943,0.815956482320943,-220,-6.64853430039287,6.64853430039287
"30","041","050","Hill County",16309,16398,16315,89,0.545710957140229,0.545710957140229,6,0.0367895027285548,0.0367895027285548
"30","043","050","Jefferson County",12085,12346,11556,261,2.15970211005379,2.15970211005379,-529,-4.3773272652048,4.3773272652048
"30","045","050","Judith Basin County",2023,2002,2105,-21,-1.03806228373702,1.03806228373702,82,4.05338606030648,4.05338606030648
"30","047","050","Lake County",31134,30902,29410,-232,-0.745166056401362,0.745166056401362,-1724,-5.53735466049977,5.53735466049977
"30","049","050","Lewis and Clark County",70973,70107,67383,-866,-1.22018232285517,1.22018232285517,-3590,-5.05826159243656,5.05826159243656
"30","051","050","Liberty County",1959,2374,2350,415,21.1842776927004,21.1842776927004,391,19.9591628381827,19.9591628381827
"30","053","050","Lincoln County",19677,20288,20022,611,3.1051481425014,3.1051481425014,345,1.75331605427657,1.75331605427657
"30","055","050","McCone County",1729,1657,1763,-72,-4.16425679583574,4.16425679583574,34,1.96645459803355,1.96645459803355
"30","057","050","Madison County",8623,8908,7771,285,3.30511422938652,3.30511422938652,-852,-9.88055201206077,9.88055201206077
"30","059","050","Meagher County",1927,1834,1912,-93,-4.82615464452517,4.82615464452517,-15,-0.778412039439543,0.778412039439543
"30","061","050","Mineral County",4535,4511,4334,-24,-0.529217199558986,0.529217199558986,-201,-4.43219404630651,4.43219404630651
"30","063","050","Missoula County",117922,121277,122264,3355,2.84510099896542,2.84510099896542,4342,3.6820949441156,3.6820949441156
"30","065","050","Musselshell County",4730,4645,4618,-85,-1.79704016913319,1.79704016913319,-112,-2.36786469344609,2.36786469344609
"30","067","050","Park County",17191,16743,16249,-448,-2.60601477517306,2.60601477517306,-942,-5.47961142458263,5.47961142458263
"30","069","050","Petroleum County",496,495,503,-1,-0.201612903225806,0.201612903225806,7,1.41129032258065,1.41129032258065
"30","071","050","Phillips County",4217,3921,4294,-296,-7.01920796774959,7.01920796774959,77,1.82594261323216,1.82594261323216
"30","073","050","Pondera County",5898,5805,6201,-93,-1.57680569684639,1.57680569684639,303,5.13733468972533,5.13733468972533
"30","075","050","Powder River County",1694,1673,1767,-21,-1.2396694214876,1.2396694214876,73,4.30932703659976,4.30932703659976
"30","077","050","Powell County",6946,6826,7534,-120,-1.72761301468471,1.72761301468471,588,8.46530377195508,8.46530377195508
